id,category
0,15
1,2
2,18
3,8
4,8
5,12
6,18
7,15
8,2
9,18
10,2
11,2
12,18
13,18
14,11
15,17
16,17
17,15
18,2
19,0
20,15
21,7
22,5
23,0
24,12
25,0
26,3
27,16
28,3
29,2
30,18
31,13
32,8
33,5
34,11
35,11
36,2
37,18
38,15
39,13
40,2
41,6
42,14
43,11
44,13
45,12
46,0
47,14
48,12
49,0
50,5
51,4
52,18
53,18
54,15
55,0
56,7
57,4
58,18
59,6
60,14
61,14
62,17
63,8
64,8
65,7
66,6
67,12
68,11
69,13
70,18
71,13
72,15
73,3
74,12
75,2
76,3
77,12
78,12
79,17
80,18
81,15
82,14
83,15
84,9
85,15
86,7
87,2
88,5
89,6
90,5
91,2
92,18
93,0
94,18
95,2
96,8
97,5
98,1
99,3
100,3
101,2
102,18
103,18
104,8
105,12
106,15
107,0
108,2
109,2
110,5
111,2
112,6
113,18
114,1
115,2
116,14
117,15
118,12
119,14
120,12
121,4
122,0
123,8
124,5
125,11
126,15
127,4
128,12
129,15
130,7
131,8
132,2
133,12
134,15
135,0
136,14
137,11
138,0
139,2
140,10
141,18
142,4
143,15
144,4
145,11
146,15
147,7
148,11
149,18
150,3
151,4
152,4
153,5
154,11
155,0
156,15
157,18
158,7
159,11
160,18
161,3
162,3
163,18
164,5
165,18
166,14
167,8
168,11
169,16
170,2
171,14
172,2
173,12
174,1
175,2
176,11
177,1
178,1
179,11
180,18
181,16
182,10
183,6
184,18
185,15
186,5
187,5
188,5
189,12
190,6
191,15
192,0
193,7
194,15
195,15
196,2
197,17
198,16
199,18
200,17
201,11
202,15
203,2
204,16
205,15
206,13
207,18
208,12
209,11
210,17
211,12
212,3
213,18
214,12
215,18
216,14
217,18
218,3
219,13
220,18
221,3
222,18
223,7
224,7
225,17
226,12
227,11
228,0
229,7
230,8
231,7
232,17
233,8
234,18
235,8
236,2
237,6
238,3
239,8
240,14
241,3
242,8
243,2
244,15
245,4
246,2
247,3
248,8
249,5
250,15
251,18
252,0
253,0
254,11
255,18
256,5
257,15
258,18
259,5
260,3
261,6
262,12
263,2
264,6
265,3
266,3
267,18
268,16
269,1
270,2
271,14
272,13
273,18
274,7
275,6
276,5
277,3
278,1
279,8
280,2
281,8
282,3
283,18
284,17
285,4
286,13
287,14
288,4
289,5
290,11
291,14
292,2
293,4
294,14
295,15
296,2
297,1
298,4
299,15
300,0
301,17
302,14
303,15
304,7
305,4
306,0
307,18
308,15
309,1
310,11
311,2
312,18
313,11
314,2
315,3
316,16
317,18
318,3
319,1
320,6
321,8
322,14
323,2
324,12
325,14
326,18
327,17
328,14
329,18
330,4
331,6
332,18
333,12
334,7
335,8
336,12
337,6
338,15
339,0
340,18
341,12
342,3
343,4
344,14
345,15
346,15
347,5
348,16
349,18
350,5
351,2
352,5
353,8
354,3
355,5
356,3
357,11
358,10
359,6
360,2
361,13
362,18
363,12
364,7
365,3
366,3
367,3
368,5
369,12
370,11
371,18
372,1
373,0
374,3
375,16
376,2
377,18
378,2
379,8
380,7
381,10
382,17
383,18
384,18
385,2
